AppID,Full audio languages
10,English
10,French
10,German
10,Italian
10,Spanish - Spain
10,Simplified Chinese
10,Traditional Chinese
10,Korean
20,
30,
40,
50,
60,
70,English
70,French
70,German
70,Italian
70,Spanish - Spain
70,Simplified Chinese
70,Traditional Chinese
70,Korean
80,
100,
130,
220,English
220,French
220,German
220,Italian
220,Korean
220,Spanish - Spain
220,Russian
220,Thai
240,
280,
300,
320,
340,
360,
380,English
380,French
380,German
380,Italian
380,Korean
380,Spanish - Spain
380,Russian
380,Simplified Chinese
380,Traditional Chinese
380,Thai
400,English
400,French
400,German
400,Russian
400,Spanish - Spain
400,Traditional Chinese
400,Korean
420,English
420,French
420,German
420,Russian
420,Spanish - Spain
420,Traditional Chinese
440,English
440,Ukrainian
500,English
500,French
500,German
500,Spanish - Spain
500,Russian
500,Korean
550,English
550,French
550,German
550,Russian
550,Spanish - Spain
550,Vietnamese
570,English
570,Korean
570,Simplified Chinese
570,Vietnamese
620,English
620,French
620,German
620,Spanish - Spain
620,Russian
620,Turkish
630,
659,English
659,French
659,German
659,Spanish - Spain
659,Russian
659,Turkish
730,English
730,Vietnamese
1002,
1200,
1250,English
1250,French
1250,Italian
1250,German
1250,Spanish - Spain
1250,Russian
1300,
1313,
1500,
1510,
1520,
1530,
1600,
1610,
1620,
1630,
1640,
1670,
1690,
1700,
1840,
1900,English
1900,French
1900,German
1900,Spanish - Spain
1900,Italian
1900,Polish
1900,Russian
1930,
2100,
2130,
2200,
2210,
2270,
2280,
2290,
2300,
2310,
2320,
2330,
2340,
2350,
2360,
2370,
2390,
2400,
2420,
2450,
2500,English
2520,
2525,
2540,
2545,
2550,
2570,
2590,
2600,
2610,
2620,
2630,
2640,
2700,
2710,
2720,
2780,
2800,English
2800,German
2800,Spanish - Spain
2800,Russian
2810,English
2810,French
2810,German
2810,Spanish - Spain
2810,Russian
2810,Polish
2820,English
2820,French
2820,German
2820,Russian
2820,Japanese
2840,English
2840,German
2850,English
2850,German
2870,English
2870,German
