AppID,Recommendations,Estimated owners,Average playtime forever,Average playtime two weeks,Median playtime forever,Median playtime two weeks,Peak CCU
10,122770,10000000 - 20000000,10524,1733,228,733,13230
20,4722,5000000 - 10000000,143,0,23,0,110
30,3246,5000000 - 10000000,1397,0,27,0,106
40,1570,5000000 - 10000000,945,0,10,0,2
50,12374,5000000 - 10000000,214,0,66,0,120
60,3103,5000000 - 10000000,3978,49,4,49,10
70,60686,5000000 - 10000000,459,102,127,102,752
80,15155,5000000 - 10000000,1523,18,36,22,425
100,15159,10000000 - 20000000,1321,0,26,0,69
130,9278,10000000 - 20000000,175,0,93,0,78
220,110892,10000000 - 20000000,606,185,311,315,1015
240,92195,10000000 - 20000000,9171,1329,373,53,7162
280,9560,2000000 - 5000000,342,0,114,0,50
300,11604,5000000 - 10000000,732,28,146,50,424
320,7042,10000000 - 20000000,491,75,38,75,213
340,7974,20000000 - 50000000,37,0,24,0,23
360,2696,5000000 - 10000000,173,0,15,0,13
380,16916,2000000 - 5000000,253,0,194,0,202
400,91584,10000000 - 20000000,484,69,168,107,588
420,23372,5000000 - 10000000,444,179,284,257,263
440,14410,50000000 - 100000000,9916,2299,370,694,107702
500,34087,2000000 - 5000000,1098,300,141,455,1323
550,457367,20000000 - 50000000,2166,329,529,99,44449
570,14300,100000000 - 200000000,37162,1647,880,749,558759
620,243925,10000000 - 20000000,874,118,514,138,2693
630,319,2000000 - 5000000,278,0,87,0,117
659,243925,0 - 20000,0,0,0,0,0
730,3441592,50000000 - 100000000,30484,777,6357,253,825215
1002,0,20000 - 50000,15,0,15,0,1
1200,1264,500000 - 1000000,365,0,136,0,16
1250,35858,2000000 - 5000000,2087,696,323,1039,310
1300,538,100000 - 200000,168,0,168,0,1
1313,210,0 - 20000,194,0,243,0,2
1500,630,50000 - 100000,65,0,27,0,3
1510,1533,500000 - 1000000,155,0,83,0,9
1520,2721,500000 - 1000000,343,0,86,0,20
1530,351,500000 - 1000000,40,0,61,0,2
1600,277,50000 - 100000,1,0,1,0,1
1610,196,50000 - 100000,18,0,18,0,11
1620,0,0 - 20000,0,0,0,0,0
1630,929,50000 - 100000,844,0,1674,0,60
1640,1030,50000 - 100000,521,0,1040,0,70
1670,245,20000 - 50000,0,0,0,0,0
1690,348,50000 - 100000,1965,0,2580,0,8
1700,1418,200000 - 500000,100,0,39,0,21
1840,252,1000000 - 2000000,1846,293,94,514,1189
1900,626,500000 - 1000000,1747,0,424,0,11
1930,2130,1000000 - 2000000,392,0,405,0,47
2100,6231,1000000 - 2000000,302,0,234,0,50
2130,6231,1000000 - 2000000,32,0,38,0,2
2200,2441,500000 - 1000000,104,0,68,0,28
2210,1847,200000 - 500000,328,0,429,0,26
2270,2520,200000 - 500000,104,0,42,0,16
